Mode,Eigenvalue,C2_Tx,C2_Ty,C2_Tz,C2_Rx,C2_Ry,C2_Rz,C2_VS,C2_VB,C2_VMix
EMIT 1,-23.7514,0,0,0,0,0.140838869,0.193316137,6.53255E-05,0.338777705,0.326989499
EMIT 2,-23.7514,0,0,0,0,0.386632206,0.070419443,2.37961E-05,0.423801126,0.119112762
EMIT 3,-23.7514,0,0,3.61E-14,0,0,0,0,1.000010282,0
EMIT 4,-23.7514,0,5.76E-14,0,0,0,0,4.08246E-10,0.233083065,0.766916082
EMIT 5,-23.7514,0,0,0,0.010675336,0.041930982,0.07310429,1.7393E-05,0.787530936,0.086748588
EMIT 6,-23.7514,0,0,0,0.330573494,0.002261662,0.105660766,5.66163E-05,0.279535949,0.281906438
EMIT 7,-23.7514,0,0,0,0.001340327,0.027562405,0.227444455,6.32541E-05,0.428096258,0.315503855
EMIT 8,-23.7514,0,0,0,0.381840327,0.050941925,0.09476714,2.18158E-05,0.363879242,0.108545892
EMIT 9,-23.7514,0,0,0,0.066776943,0.141038561,0.026494281,1.99764E-05,0.666188995,0.099489421
EMIT 10,-18.4884,0.000139793,0.088204052,0,0,0,0,0.020617618,0.782132159,0.10892176
EMIT 11,-18.4884,0.088203838,0.000139985,0,0,0,0,0.020616855,0.782118823,0.108912793
EMIT 12,-15.0096,0,0,0.232650052,0,0,0,0,0.767370131,0
EMIT 13,-6.2678,0,0,0,0,0.139192544,1.54589E-06,4.49049E-10,0.860802354,2.38507E-06
EMIT 14,-6.2678,0,0,0,1E-16,3.09179E-06,0.069596281,2.02234E-05,0.823004755,0.107375838
EMIT 15,-6.2678,0,0,0,0,3.24E-14,4E-16,0,0.999984385,1.1E-15
EMIT 16,-6.2678,0,0,0,9E-16,1.6E-15,6.76E-14,3.533E-13,0.76691694,0.233083915
EMIT 17,-6.2678,0,0,0,0.030144773,0.004790383,0.014252043,1.88285E-05,0.85095672,0.099843085
EMIT 18,-6.2678,0,0,0,0.127412346,0.016445003,7.81965E-05,1.69858E-07,0.85516888,0.000899881
EMIT 19,-6.2678,0,0,0,0.000242307,5.61875E-05,0.117860239,1.32041E-05,0.812111781,0.069723624
EMIT 20,-6.2678,0,0,0,0.045183803,0.007565239,0.006851457,8.15454E-06,0.897155676,0.043241857
EMIT 21,-6.2678,0,0,0,0.005810348,0.040740952,0.000153729,1.97703E-07,0.952245904,0.001048386
EMIT 22,-4.026,4.49564E-05,0.027936341,0,0,0,0,0.086708237,0.103397968,0.781905013
EMIT 23,-4.026,0.027936378,4.49572E-05,0,0,0,0,0.086710055,0.103411086,0.781910283
EMIT 24,0,0.003824949,0.027214929,0,0,0,0,0.679076883,0.262366849,0.027523046
EMIT 25,0,0.001658465,0.017142123,0,0,0,0,0.859685277,0.090382725,0.03113506
EMIT 26,0,0.0258862,0.000278332,0,0,0,0,0.872279307,0.074825239,0.026728451
EMIT 27,0,0.013293659,0.002344321,0,0,0,0,0.332006017,0.558367503,0.093996292
EMIT 28,0,0.023656529,1.14662E-05,0,0,0,0,0.413380399,0.485320382,0.077628408
EMIT 29,0,0.003589826,0.023479736,0,0,0,0,0.7564557,0.170875047,0.045608306
EMIT 30,0,0.010873905,0.008371452,0,0,0,0,0.826373137,0.118734683,0.03564801
EMIT 31,0,0.00524059,0.031728291,0,0,0,0,0.579788634,0.356466025,0.026754838
EMIT 32,0,1.05349E-05,0.002311721,0,0,0,0,0.32396775,0.56154759,0.112148857
EMIT 33,0,0.028290853,0.003443156,0,0,0,0,0.915853856,0.027906444,0.024490331
EMIT 34,7.5049,0.767349335,0,0,0,0,0,0.113074416,0.091449714,0.028123861
EMIT 35,7.5049,0,0.767349335,0,0,0,0,0.113076897,0.091446807,0.02813319
EMIT 36,15.0097,0,0,0.767349948,0,0,0,0,0.232629872,0
