Mode,Eigenvalue,Tx,Ty,Tz,Rx,Ry,Rz,V_Stretch
EMIT 1,7.5049,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667
EMIT 2,7.5049,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.5774
EMIT 3,15.0097,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
EMIT 4,-23.7514,-0.0082,0.0076,0.0381,0.3230,0.1165,-0.1697,0.2327
EMIT 5,-23.7514,0.0000,0.0000,0.0000,0.0000,0.1427,-0.0861,0.2983
EMIT 6,-23.7514,-0.0516,0.0181,0.0991,-0.0286,-0.0658,-0.2243,0.4612
EMIT 7,-23.7514,0.0000,0.0000,-0.1667,0.0000,0.0000,0.0000,0.0000
EMIT 8,-23.7514,-0.0367,-0.0014,-0.0419,0.0255,0.0245,-0.1413,0.2022
EMIT 9,-0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,0.7397
EMIT 10,0.0000,0.0833,0.0000,0.0000,0.0000,0.0000,0.0000,0.7572
EMIT 11,-23.7514,-0.0362,-0.0494,0.0663,0.0845,-0.2151,0.0057,0.2331
EMIT 12,-15.0096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
EMIT 13,-6.2678,0.0000,0.0000,0.0000,0.0000,0.1667,-0.0008,0.0000
EMIT 14,-6.2678,-0.0336,-0.0152,0.1555,-0.2646,0.1556,0.0328,0.0000
EMIT 15,-6.2678,0.0482,0.0148,0.0962,-0.1512,-0.0884,0.0474,0.0000
EMIT 16,-6.2678,0.0000,0.0000,0.1667,0.0000,0.0000,0.0000,0.0000
EMIT 17,-6.2678,0.0456,-0.0481,-0.1093,-0.1635,-0.2144,-0.0469,0.0000
EMIT 18,-0.0000,0.1667,-0.0000,0.0000,0.0000,0.0000,-0.0000,0.9709
EMIT 19,-4.0260,0.1696,0.0091,0.0000,0.0000,0.0000,-0.0000,0.3173
EMIT 20,-4.0260,0.0293,0.0177,0.0000,0.0000,0.0000,-0.0000,0.2770
EMIT 21,0.0000,0.0833,-0.1443,0.0000,0.0000,0.0000,0.0000,0.9409
EMIT 22,-6.2678,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
EMIT 23,-6.2678,0.0291,0.0004,-0.0607,0.1554,0.0549,0.0062,0.0000
EMIT 24,-6.2678,0.0000,0.0000,0.0000,0.0000,0.0008,0.1667,0.0000
EMIT 25,-23.7514,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7500
EMIT 26,-6.2678,0.0001,-0.0001,0.0048,-0.0146,0.0062,0.3329,0.0000
EMIT 27,-18.4884,-0.4027,0.0008,0.0000,0.0000,0.0000,0.0000,0.3062
EMIT 28,-18.4884,-0.0219,-0.3055,0.0000,0.0000,0.0000,0.0000,0.3069
EMIT 29,-23.7514,0.0163,0.0010,0.0090,-0.3829,-0.0648,-0.0907,0.4541
EMIT 30,-23.7514,0.0000,0.0000,0.0000,0.0000,-0.0861,-0.1427,0.4943
EMIT 31,-0.0000,0.0000,-0.1444,0.0000,0.0000,0.0000,0.0000,0.9564
EMIT 32,0.0000,0.0000,-0.1443,0.0000,0.0000,0.0000,0.0000,0.9786
EMIT 33,0.0000,-0.0833,-0.2887,0.0000,0.0000,0.0000,0.0000,0.9740
EMIT 34,-0.0000,-0.0002,0.0001,0.0000,0.0000,0.0000,-0.0002,0.9290
EMIT 35,-0.0000,-0.5000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.7713
EMIT 36,0.0000,0.1666,0.1443,0.0000,0.0000,0.0000,0.0000,0.9802
