Mode,Freq,Tx,Ty,Tz,Rx,Ry,Rz,V_Stretch
Tx,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ty,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Tz,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
Rx,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000
Ry,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
Rz,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000
Vib 1,411.9847,0.0000,0.0000,-0.3333,0.0000,0.0000,0.0000,0.0000
Vib 2,411.9847,0.0000,0.0000,-0.3333,0.0000,0.0000,0.0000,0.0000
Vib 3,645.8926,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0188,0.0520
Vib 4,645.8926,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0066,0.0534
Vib 5,678.1652,0.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000
Vib 6,684.1694,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Vib 7,852.2314,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Vib 8,852.2314,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Vib 9,931.2417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Vib 10,931.2417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Vib 11,933.5249,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Vib 12,992.5830,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
Vib 13,1056.3901,-0.0572,0.0195,0.0000,0.0000,0.0000,0.0000,0.2026
Vib 14,1056.3901,0.0047,-0.1613,0.0000,0.0000,0.0000,0.0000,0.2274
Vib 15,1067.4650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Vib 16,1237.2932,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0979
Vib 17,1247.1403,0.0000,0.0000,0.0000,0.0000,0.0000,0.3267,0.0590
Vib 18,1247.1403,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3234,0.0592
Vib 19,1319.2685,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.2626
Vib 20,1435.4835,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Vib 21,1532.8465,-0.4103,0.0363,0.0000,0.0000,0.0000,0.0000,0.0823
Vib 22,1532.8465,-0.0068,-0.3261,0.0000,0.0000,0.0000,0.0000,0.0910
Vib 23,1598.8987,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0349,0.3055
Vib 24,1598.8987,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0306,0.3114
Vib 25,3182.2915,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9820
Vib 26,3191.8910,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0047,0.9882
Vib 27,3191.8910,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0422,0.9878
Vib 28,3209.6325,-0.0603,-0.1044,0.0000,0.0000,0.0000,0.0000,0.9962
Vib 29,3209.6325,-0.0275,0.0018,0.0000,0.0000,0.0000,0.0000,0.9954
Vib 30,3223.1696,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
